File Name,Pre-compression Entropy,Post-compression Entropy
data/4036d06b-fc56-47ca-8a2f-d7e1c3f3d9a0.wav,5.734313,7.950317
data/40b8ccac-db4f-4aee-a21e-5eb767c9b9a8.wav,5.017517,7.944042
data/414b9d5a-df01-49ea-a0f0-5cc297041bb9.wav,6.742278,7.984305
data/416c2b86-8d23-4d46-9fc8-12c736bca08e.wav,6.576658,7.970381
data/4281bfb9-ee31-49a7-8e1f-393b469b1a6c.wav,5.221365,7.953144
data/429f76f3-c417-457b-828a-a7915f60e0e7.wav,4.872768,7.958001
data/42b04847-a231-4e4f-adc8-506e6f7e30ad.wav,5.784617,7.946748
data/43619ffb-79ef-4d60-aaa7-928b2a143e51.wav,5.396365,7.940301
data/4370417a-1d30-4779-8b22-bbe5ca83db3b.wav,4.333174,7.946812
data/43758ea3-e5d2-4636-ad9c-ff5bfaa2914a.wav,6.090770,7.944712
data/43db69f8-b371-4b24-80e4-bff210ece512.wav,4.978207,7.957133
data/443ae2ae-ce86-4a10-aba1-bc0bb51b39f3.wav,5.004754,7.958782
data/44a67074-6d06-4087-9ec3-a5de75016aa8.wav,5.267757,7.946510
data/45988954-c1c3-45e4-911e-764fcab61a07.wav,6.461162,7.975858
data/460915c7-7a07-4feb-909f-e7bb1e4806c0.wav,4.519223,7.947949
data/4630b95e-f8d9-4842-b088-ccde4d2509eb.wav,4.349531,7.954207
data/46734a59-efbb-499b-b6cf-b41db37c9186.wav,5.005730,7.939892
data/47bcd211-fdd3-4b3d-81bb-72595dac9dc2.wav,5.431928,7.946191
data/4876213e-ca0c-4b88-9016-800da79fd8f9.wav,5.856200,7.926871
data/48dcc020-52eb-400b-8175-e8fe9a55d7ad.wav,5.079919,7.948489
data/4908392f-0e5b-41b7-9e1e-ccc9d6a60381.wav,5.828933,7.948759
data/497c142c-fa79-4261-95a6-447a1c8eab31.wav,6.652687,7.953114
data/49c14ec7-9402-4d5a-898c-e133fe1719a0.wav,4.573703,7.951193
data/4a0bf089-ab79-43e0-9a3d-caa48ad8b0af.wav,4.836185,7.929529
data/4aa5c35c-b298-428d-8918-7ab8f48b0493.wav,5.507746,7.940767
data/4ae27b8a-9a74-4c7e-97b6-aaf8d70c2c92.wav,4.709678,7.955068
data/4b3f685d-1f25-4004-9457-c992d2ffa647.wav,4.428010,7.944549
data/4b914037-3c4a-4b7f-b680-a3e642e52389.wav,4.340410,7.955536
data/4b96ef39-9af5-4fe7-82c7-658f9ed956e9.wav,5.034532,7.961946
data/4bece4b9-1c89-486e-9af6-8eae1e13e2e7.wav,4.855157,7.934014
data/4bf51d8a-4078-4c84-9dc5-36b384402d01.wav,4.212003,7.957861
data/4c769ab2-eb5f-4cb8-9ae8-fe0457335cbe.wav,4.744852,7.953163
data/4c949895-0947-455b-803d-74102b41e754.wav,5.259732,7.954207
data/4ca7206c-3224-445e-8d2f-831f75d7c90a.wav,5.434768,7.946805
data/4d4a9bf4-fe98-43be-81dd-230fc0646d58.wav,5.404034,7.952076
data/4d546855-4bbf-494c-bb06-ce51570c9c26.wav,4.908374,7.956443
data/4e712e8f-d37e-424b-97c9-7668064ffca9.wav,5.154986,7.948189
data/4ebd6952-60ae-448f-bbfa-539e130ba3b2.wav,5.265104,7.957341
data/4f517773-221f-47d1-b3f0-f4ad3a80a108.wav,5.490345,7.958536
data/4f7acf44-98d7-4fcc-9bd3-094d9c30d7dd.wav,6.430493,7.947797
data/4f9fb4d9-50ea-432f-ac30-9f597d6178df.wav,4.973717,7.956250
data/4fd22ca4-99f3-4b33-9510-ba32d4a2f46f.wav,5.586346,7.930853
data/4fd5d61c-1484-441c-8c3c-b5669d0e2292.wav,5.397901,7.942593
data/4fdc6242-e58b-4687-bd69-94e4aa83db0f.wav,4.884770,7.956932
data/4fee6085-6381-4bf6-becc-821ced6c321c.wav,4.215581,7.950545
data/50982b3e-3586-4f01-884e-fcfd9a1a2df4.wav,4.540387,7.948360
data/513466a6-2081-4b61-a9d9-db8f5c398dd9.wav,5.383733,7.951705
data/5180ddb3-fc5d-4924-9e94-3d1228c17e43.wav,5.695620,7.951330
data/51846093-43b0-4873-ba1a-ee503f3bdb9d.wav,5.652962,7.943637
data/51d333e5-823d-434d-b3bc-638aeed222b1.wav,5.624757,7.946953
data/52d00faf-9be7-4254-917c-8d4a3197a5db.wav,5.161217,7.952268
data/54c317db-4533-40d6-bef7-50b0bd4ba6eb.wav,5.116111,7.955874
data/54c6a6ff-c5e1-4aee-a8e9-3f47401459f9.wav,4.585499,7.954998
data/54e7c135-fb37-454a-aaba-073bc67e5894.wav,5.224063,7.945511
data/5540ae6d-b1c6-4c62-a03d-20ede2558afc.wav,7.784741,7.936497
data/55b06e93-7249-45c1-a567-77ca8324d080.wav,4.382968,7.949909
data/55c95e62-6ce1-459c-bf7e-057f40bb9dc9.wav,6.895779,7.968914
data/55fa663c-b545-4ede-8c73-acf1a7ba8c20.wav,5.180915,7.954674
data/5611ca15-4d92-4cef-8187-8b2db56521a2.wav,4.973460,7.956683
data/561fb19f-7fee-4994-9baf-d9aca4069498.wav,5.014118,7.950967
data/564cfa0a-4219-4bd4-8d92-ce59b3a70f11.wav,5.558769,7.956636
data/568629be-b80a-4edd-90db-e2a9115a240d.wav,5.501744,7.952635
data/56f9e1dd-5ffb-44a5-a5d4-75d7cdfe64d0.wav,4.346118,7.940502
data/572159e4-9c20-4dd8-a050-33e518102fde.wav,5.513471,7.955449
data/57421962-30e8-4ed6-b839-a409e3f50c7b.wav,5.764206,7.915569
data/57681b42-118a-4aef-a498-49b81b8b1cdb.wav,4.574659,7.953546
data/578f64cd-9855-4a4f-bd78-3bf446b64391.wav,4.835773,7.946080
data/583a820c-0ce6-44b0-8100-fe353ce6d3e1.wav,5.137658,7.947511
data/588528eb-20f7-453e-85a2-360ce53d5cb6.wav,5.446025,7.953897
data/58c8f69c-0a56-4579-bf29-c888362d855e.wav,5.925716,7.954042
data/58d4c0b5-a0ee-4eda-8d50-feeee7496aed.wav,5.457839,7.942285
data/591baa0f-bd41-49a7-a4b7-e94da179b2b2.wav,5.102585,7.947471
data/59bb0d7e-eb5f-4d56-8a26-21fd7809db2a.wav,5.326591,7.957150
data/59c3cf10-91ec-409b-9576-b106b58ad6bb.wav,5.112303,7.943136
data/5a8e8ab0-27ed-48b9-8c27-16a371c74a3f.wav,5.512207,7.950951
data/5b19872b-2741-448f-b07a-d50d47509308.wav,6.055588,7.951458
data/5b4d164d-2188-46b1-87d0-d14edf796a3b.wav,5.348544,7.950103
data/5b5da578-855f-4866-88b7-70ddcbe4f2a8.wav,4.451897,7.944349
data/5ba3a321-4aa8-4def-bedc-b800134a8a93.wav,5.591430,7.954437
data/5bf48169-b0bb-4aed-b870-928b1ec009bf.wav,5.021848,7.963764
data/5bfa0a02-0627-4ad8-a030-ac44924fe784.wav,5.293713,7.951379
data/5c07ae81-0e3f-4761-956f-3cad6ec422dd.wav,5.891812,7.959451
data/5c3164e9-2c4c-4226-99a0-d346718ace24.wav,5.386566,7.952672
data/5cb343b2-dfa2-42f8-82ea-948147a63020.wav,5.240317,7.950668
data/5cef007b-2979-46be-a3f5-a1efab9fd763.wav,5.376834,7.950769
data/5d57241d-83db-444f-ad3e-4ccee3f23373.wav,4.688212,7.946752
data/5e1df97c-6eee-4e6c-9ea5-0e5d228f3ea2.wav,6.487136,7.950467
data/5e4ba99a-cc6d-41f6-b1da-a53593522574.wav,5.150076,7.945525
data/5e5363b2-194e-433d-8165-e576b981873e.wav,5.651007,7.950817
data/5edf2908-7483-444c-b93b-9ae9beb155b1.wav,5.002534,7.958424
data/5f3e80dc-6e4f-4ced-a670-618955fc06ae.wav,4.863692,7.961033
data/5fd335ea-1259-4895-a540-06258f0fb69a.wav,4.770720,7.940248
data/5fd769b6-b7e4-4121-81ff-e42c45fb0648.wav,5.561166,7.950466
data/602dd674-c438-495d-83a7-23efaae6f8c0.wav,6.044667,7.950044
data/61095807-08cc-4b6a-aab4-6e1a2e558135.wav,5.258723,7.949836
data/61211a1e-99b8-4079-931a-a32845a5bf1d.wav,5.106777,7.940223
data/6228b2ef-c8c1-4a3a-a57c-d5dbbed6d4a1.wav,4.943377,7.945708
data/62406947-8f41-4790-9128-c792ab0cb6ce.wav,5.486968,7.960070
data/628ac62f-2d6c-4d3f-89c8-f2b207f4cd44.wav,5.849459,7.936393
data/629e3b5b-3829-4583-8e1c-d84825ca08b2.wav,6.097581,7.949538
data/62c0e50b-2bf6-4ecf-85b6-6ebf36e564b5.wav,5.550700,7.931137
data/64030dcb-b007-4f0c-a957-76f5b5372c64.wav,4.719398,7.944643
data/64058005-fd38-44ab-90aa-2b96fbc8bc76.wav,5.084053,7.928658
data/64252bd6-3d67-4e84-a3c9-8186516a8586.wav,5.403270,7.958611
data/643ccec6-2226-4520-a39c-9a859c871a45.wav,5.980401,7.957247
data/64b2e68d-5fb4-4a44-82eb-5734a415e978.wav,5.112280,7.949411
data/64d5c24b-2e31-41ba-afba-5bc85d9b43cc.wav,6.965809,7.952503
data/65251536-2706-40ee-83f4-65bc2a4dd0c9.wav,5.546165,7.964555
data/65426899-7a48-43b4-ba86-8019fcccfdb0.wav,4.668284,7.952809
data/658bf659-6c2e-4af6-b218-36276437742a.wav,5.357482,7.942202
data/662a83b5-33f4-4a49-a861-39a24a0612e6.wav,4.806830,7.952466
data/6631cc7c-af05-450e-880c-f7882760085b.wav,5.003612,7.954928
data/663e167d-03e3-47ae-940b-5862c64e8a09.wav,4.879397,7.948947
data/667b32ec-30bd-4bc2-8ffb-ab3c3a4fa4d1.wav,4.923909,7.968817
data/66811b61-6744-4a77-bfea-4ed03c915224.wav,4.728246,7.951543
data/66b41ae6-05d6-4758-8646-1fc3e4face3e.wav,4.765780,7.950531
data/67c25d1f-b0e0-422c-a212-8a769c60d3ea.wav,5.667301,7.954207
data/685524ad-e854-4fa7-ada7-d8a3861231d1.wav,4.803611,7.941871
data/68c55c27-86d1-4ab1-8acb-d7b9d83bc474.wav,6.037718,7.957197
data/690b7f03-ae93-47e4-a361-5b99335cf939.wav,4.535410,7.958359
data/6972b2fe-99a9-4a98-a746-d066515b8e9e.wav,4.965058,7.952028
data/69913125-382c-47d3-b5fa-ccb015f1a20a.wav,5.609949,7.950829
data/69b06303-d4fe-4768-b532-9edf3f1956dc.wav,4.340838,7.973455
data/69d15af6-c453-47f6-bb34-b3af39630ff5.wav,4.770249,7.952431
